NAME,ADDRESS_AB,longitude,latitude
Midpark Writing Centre,"#305, 295 Midpark Way SE",-114.0622404,50.90932823
Fish Creek,1039 Suncastle Drive S.E.,-114.0328114,50.90150514
St. Angela Elementary,231 - 6 Street N.E.,-114.0488198,51.05442193
Master's College,4414 Crowchild Trail SW,-114.1165459,51.01530238
Holy Name (Bilingual),3011 - 35 Street S.W.,-114.1390036,51.02827189
CBe - Learn,2336 53 Avenue S.W.,-114.1139277,51.00651691
Calgary Waldorf,515 Cougar Ridge Drive S.W.,-114.2183262,51.07234939
Wood's Homes,805 37 ST NW,-114.2242283,51.09609805
Nellie McClung,2315 Palliser Drive S.W.,-114.1130138,50.9684953
SAIT - Main Campus,,-114.0892724,51.0645151
Eugene Coste,10 Hillgrove Crescent S.W.,-114.0869778,50.96788958
Mount View,2004 - 4 Street N.E.,-114.0520619,51.06962544
Ted Harrison,215 Taravista Way N.E.,-113.9282542,51.11723275
Silver Springs,7235 Silvermead Road N.W.,-114.1908255,51.10571021
St. Cyril,2990 Cedarbrae Drive S.W.,-114.1285219,50.95549347
Blessed Marie-Rose,999 Sherwood Blvd. NW,-114.1483237,51.15988954
Acadia,9603 - 5 Street S.E.,-114.0539269,50.96761062
Belvedere Parkway,4631 - 85 Street N.W.,-114.2115592,51.09271682
Monsignor A. J. Hetherington Elementary,4 Coral Springs Boulevard N.E,-113.9340476,51.0995523
Colonel Macleod,1610 - 6 Street N.E.,-114.0476454,51.06618282
Hidden Valley,10959 Hidden Valley Drive NW,-114.11959,51.15025376
Bishop O'Byrne High,Suite 500 333 Shawville Boulevard S.E.,-114.0645668,50.89809185
Midsun,660 Sunmills Drive S.E.,-114.0309154,50.90184947
Don Bosco,13615 Deer Ridge Drive S.E.,-114.0182527,50.93130069
Bishop Carroll High,4624 Richard Road S.W.,-114.1207915,51.01269364
Calgary International Academy,450 Royal Oak Drive NW,-114.231867,51.13911895
St. Gianna,800 Auburn Bay Blvd SE,-113.968031,50.89551366
Patrick Airlie,1520 - 39 Street S.E.,-113.9767839,51.03991139
McKenzie Towne,679 Prestwick Cir. SE,-113.9667175,50.92704874
Bishop Grandin High,111 Haddon Road S.W.,-114.078741,50.97543777
Tyndale Christian,28 Hart Estates Blvd. NE,-113.8677457,51.05863393
St. Anne Academic Centre,1010 - 21 Avenue S.E.,-114.0389181,51.03513931
Nickle,2500 Lake Bonavista Drive S.E.,-114.0614348,50.94073673
Valley View,4105 - 26 Avenue S.E.,-113.9752778,51.03005456
Discovering Choices,"206, 315 - 10 Avenue S.E.",-114.0566933,51.04287051
Andrew Sibbald,1711 Lake Bonavista Drive S.E.,-114.0408775,50.9351786
G.W. Skene,6226 Penbrooke Drive S.E.,-113.9452208,51.04562487
Monsignor Neville Anderson,327 Sandarac Drive N.W.,-114.1041066,51.13915085
Northwest Elementary Campus,719-44 Ave NW,-114.0780594,51.09317275
School of East Indian Languages and Performing Arts,376 Silverado Boulevard SW,-114.0875454,50.88374152
Glenbrook,4725 - 33 Avenue S.W.,-114.1549975,51.0235114
St. Rita,7811 Ranchview Drive N.W.,-114.1817531,51.11986617
Connect Charter,5915 Lewis Drive S.W.,-114.1357584,51.00037352
W.H.Cushing Workplace,130 - 7 Avenue S.W.,-114.0649132,51.04682403
Monterey Park,"7400 California Blvd., N.E.",-113.9304829,51.07742466
St. Sylvester,7318 Silver Springs Blvd NW.,-114.1943777,51.10924676
Alex Munro,427 - 78 Avenue N.E.,-114.0613952,51.12064736
Colonel Walker,1921 - 9 Avenue S.E.,-114.0190347,51.034362
Beddington Heights,95 Bermuda Road N.W.,-114.0793929,51.13174563
CLS Lord Beaverbrook Writing Centre,9019 Fairmount Dr.  S.E.,-114.0616396,50.97309982
SAIT - Mayland Heights Campus,,-114.0094141,51.05300229
Dr. Gordon Higgins,155 Rundlehill Drive N.E.,-113.970664,51.07526967
Sir Winston Churchill High,5220 Northland Drive N.W.,-114.13999,51.1001127
Crescent Heights High,1019 1 St NW,-114.0660914,51.0614898
St. Jerome Elementary,11616 Panorama Hills Blvd NW,-114.0792827,51.15771116
St. Teresa of Calcutta,121 Midlake Boulevard S.E.,-114.0521172,50.9144204
St. Ambrose,1500 Arbour Lake Road N.W.,-114.2061636,51.13347038
St. Vincent De Paul Elementary Junior High,4525 - 49 Street N.W.,-114.1597997,51.09314463
St. Alphonsus Elementary Junior High,928 Radnor Avenue N.E.,-114.041415,51.06473357
Palliser Beyond Borders at Calgary,Suite 120 2635 - 37 Avenue,-113.9990423,51.08611443
Wildwood,120 - 45 Street S.W.,-114.1521166,51.05158955
St. Martha,6020 - 4 Avenue N.E.,-113.9456359,51.05654329
Battalion Park,369 Sienna Park Drive S.W.,-114.181901,51.02356691
Thorncliffe,5646 Thornton Road N.W.,-114.0670966,51.10232312
Chaparral,480 Chaparral Drive S.E.,-114.0449682,50.88296401
Madeleine D' Houet Bilingual,108 - 22 Street N.W.,-114.1122383,51.05319361
Horizon Leadership Academy,Building B4 Battleford Ave. SW,-114.1190467,51.01764438
Westmount Elementary,728 - 32 Street NW,-114.1314284,51.05814762
River Valley,3127 Bowwood Drive N.W.,-114.1743441,51.07946941
St. Benedict,10340 - 19 Street S.W.,-114.105447,50.9619937
CLS Lord Shaughnessy Writing Centre,2336 53 Ave SW,-114.1139277,51.00651691
Dr. Martha Cohen,116 Brightondale Park SE,-113.9447324,50.91709892
The Third Academy,"3,510-77th Ave SE",-114.0514595,50.98512208
Brentwood,1231 Northmount Drive N.W.,-114.123858,51.09048945
Sainte Marguerite Bourgeoys,4700 Richard Road S.W.,-114.1215832,51.01113758
Connaught,1121 - 12 Avenue S.W.,-114.0877162,51.04153268
St. Basil Elementary/Junior High,919 Tuscany Drive NW,-114.2503348,51.11941379
Rideau Park,829 Rideau Road S.W.,-114.0755637,51.02527662
St. James Elementary Junior High,2227 - 58 Avenue S.W.,-114.1136684,51.00114196
Montessori School of Calgary,2201 Cliff Street S.W.,-114.0760776,51.03336102
St. Joseph Elementary Junior High,2512 - 5 Street N.W.,-114.0733169,51.07478657
Maria Montessori,Chief Crowfoot School 2634 12 Ave NW,-114.1235826,51.0627098
Arbour Lake Middle,27 Arbour Crest Drive N.W.,-114.2091772,51.13465099
Foothills Academy,745 - 37 Street N.W.,-114.1423066,51.06407216
Edgemont,55 Edgevalley Circle N.W.,-114.1435785,51.12888867
John Costello Catholic,300 Strathcona Drive S.W.,-114.1807075,51.04883256
St. John XXIII,1420 Falconridge Drive N.E.,-113.9389781,51.10140502
Hillhurst,1418 - 7 Avenue N.W.,-114.0931372,51.05929477
West Ridge,8903 Wentworth Avenue SW,-114.2142424,51.05848922
St. Stephen,10910 Elbow Drive S.W.,-114.0838525,50.95569541
Kenneth D. Taylor,30 Evanscove Circle NW,-114.1178014,51.16509597
Alex Ferguson,1704 - 26 Street S.W.,-114.1229836,51.03936377
Sir John A Macdonald,6600 - 4 Street N.W.,-114.0700457,51.11147702
Project Trust,"#206, 315 10 avenue  S.E.",-114.0828403,51.07207022
Colonel Sanders,226 Northmount Drive N.W.,-114.0747704,51.09981373
Monsignor J. J. O'Brien,99 Bridlewood Road SW,-114.1038587,50.90156632
Cambrian Heights,640 Northmount Drive N.W.,-114.0879744,51.08535175
St. Albert the Great,225 Prestwick Ave SE,-113.9600758,50.92150965
Ernest Morrow,1212 - 47 Street S.E.,-113.9648387,51.04338456
Stanley Jones,950 6th St. NE,-114.0477073,51.05990541
Our Lady of the Rosary,41 Cranston Gate SE,-113.9682061,50.87442918
Balmoral,220 - 16 Avenue N.W.,-114.0664802,51.06788182
Alberta Chung Wah,"#270, 328 Centre Street S.E.",-114.0617383,51.04956496
