NAME,ADDRESS_AB,longitude,latitude
"Calgary Islamic School, Akram Jomaa Campus",2612 - 37 Avenue N.E.,-114.0004774,51.08758987
St. Brigid,"730 Citadel Way, N.W.",-114.1877229,51.14634032
William Roper Hull,2266 Woodpark Avenue SW,-114.1138325,50.94836265
Scenic Acres,50 Scurfield Way N.W.,-114.2156566,51.12008909
Light of Christ Catholic,6270 Saddlehorn Dr. N.E.,-113.9412735,51.12953723
The Holy House of Our Lady and St. John,1423 8 Ave SE,-114.0292505,51.04002356
Chinook Winds Adventist Academy,10101 - 2nd Avenue S.W.,-114.2332662,51.07923421
St. Kateri Tekakwitha,1005 Abbotsford Drive N.E.,-113.9276608,51.0618538
Calgary Home Education,5505 4A St. SW,-114.0744439,51.004704
University of Calgary - Spy Hill Campus,,-114.2169018,51.16003783
École du Nouveau-Monde,220 Scenic Acres Drive NW,-114.215124,51.11159602
Harold Panabaker,23 Sackville Drive S.W.,-114.0866482,50.95763959
Monsignor E. L. Doyle Elementary,8887 Scurfield Drive NW,-114.2164244,51.1220284
St. John Paul II,119 Castleridge Drive N.E.,-113.9561994,51.10771023
Buffalo Rubbing Stone,1308 Panatella Blvd NW,-114.0873685,51.1683524
Children's Village,1210 Russet Road NE,-114.0419644,51.06386879
Menno Simons Christian,7000 Elkton Drive S.W.,-114.188501,51.02420032
St. Matthew,416 - 83 Avenue S.E.,-114.0585101,50.97868237
Chinook Park,1312 - 75 Avenue S.W.,-114.0893703,50.98644777
Ramsay,2223 Spiller Road S.E.,-114.0457894,51.03318859
The Chinese Academy,"#191, 1518 Centre Street N.E.",-114.0701312,51.11279744
Lake Bonavista,1015 - 120 Avenue S.E.,-114.0409238,50.94454098
Mayland Heights,2324 Maunsell Drive N.E.,-114.0072928,51.05895181
Cecil Swanson,4820 Rundlewood Drive N.E.,-113.9675431,51.07418219
Earl Grey,845 Hillcrest Avenue S.W.,-114.0826538,51.03087449
St. Joan of Arc Elementary/Junior High,7970 Wentworth Drive SW,-114.2072404,51.05712474
Rosedale,905 - 13 Avenue N.W.,-114.0814991,51.06359709
Buchanan,3717 Centre Street NW,-114.0631478,51.08562966
Eric Harvie,357 Tuscany Drive NW,-114.2511111,51.12804188
Southeast Elementary Campus,9711 Academy Drive SE,-114.0454063,50.96724193
Queen Elizabeth,402 - 18 Street N.W.,-114.1019611,51.05545841
Webber Academy,1515 - 93 Street SW,-114.2250221,51.04412145
Ernest Manning High,20 Springborough Blvd. SW,-114.1892353,51.03595702
Dr. George Stanley,585 Cranston Dr. SE,-113.9782889,50.88277715
University of Calgary - Foothills Campus,,-114.1342455,51.06600737
Dr. E. W. Coffin,5615 Barrett Drive N.W.,-114.1347991,51.10375263
Haysboro,1123 - 87 Avenue S.W.,-114.0891358,50.97549518
"Calgary Islamic School, Omar Bin Al-Khattab Campus",Omar Bin Al-Khattab Campus 225 28 Street SE,-113.9938098,51.05074504
Banting and Best,1819 - 66 Avenue S.E.,-114.0138538,50.99372604
All Saints,729 Legacy Village Rd SE,-114.0267568,50.85930381
Lord Beaverbrook High,9019 Fairmount Drive S.E.,-114.0616396,50.97309982
Falconridge,1331 Falconridge Drive N.E.,-113.9454326,51.09936414
Langevin,107 - 6A Street N.E.,-114.0477096,51.05285065
Douglasdale,400 Douglas Park Blvd. S.E.,-113.9826488,50.93526299
Maria Montessori School - cSPACE King Edward Location,cSPACE Projects 1721-29 Avenue SW,-114.1008834,51.02726986
Simons Valley,375 Sandarac Drive N.W.,-114.107326,51.13967813
St. Jean Brebeuf,5030 Northland Drive N.W.,-114.1402289,51.09789338
Janus Academy (Holy Cross Site),2223 Spiller Rd SE,-114.0562929,50.9774377
Bridlewood,207 Bridleridge Way S.W.,-114.110662,50.90238361
Akiva Academy,140 Haddon Road S.W.,-114.0778236,50.97327738
Cranston,205 Cranston Drive SE,-113.9872418,50.88678714
Glamorgan,50 Grafton Drive S.W.,-114.1453983,51.01537994
